T,alpha,lambda,mi_mean,mi_std,top1_mean,top1_std,gini_mean,gini_std,n_runs
50,0.0,0.0,0.018090487906142753,0.01931225585109977,0.10800000000000001,0.021354156504062624,0.6434,0.032685531967523516,20
50,0.0,0.3,0.02508520825968154,0.038423149330170776,0.13700000000000004,0.037027017163147234,0.66448,0.033960353355052125,20
50,1.0,0.0,0.01028878040859019,0.01802173983636969,0.31599999999999995,0.06343500610861483,0.8236399999999999,0.03180588624767434,20
50,1.0,0.3,0.02756286793365024,0.032692470158245966,0.21800000000000003,0.07096477999684067,0.76332,0.04066666448087428,20
50,2.0,0.0,0.009811446387631694,0.015688915947732994,0.889,0.09969453345093701,0.9723600000000003,0.006501569041392996,20
50,2.0,0.3,0.06551097191462134,0.05710231255294317,0.5010000000000001,0.1697615975419647,0.8898399999999999,0.045810810951128135,20
100,0.0,0.0,0.004735897656152579,0.006039391216287412,0.06500000000000002,0.01284523257866513,0.6555099999999999,0.01687394144828053,20
100,0.0,0.3,0.016187394586802867,0.015025285871121393,0.07350000000000002,0.016515144564913747,0.66205,0.026248342804832462,20
100,1.0,0.0,0.007300332367156747,0.008056163542071127,0.191,0.04581484475582123,0.8193999999999999,0.026813951592407986,20
100,1.0,0.3,0.02672936087887051,0.021129734053247903,0.15299999999999997,0.04605431575867781,0.7751000000000001,0.031666859648534794,20
100,2.0,0.0,0.007187627104417088,0.008322996457306976,0.916,0.1136837719289785,0.9873900000000001,0.003069511361764269,20
100,2.0,0.3,0.08628231268972425,0.055827748115116586,0.544,0.14368020044529448,0.92225,0.022869182320319214,20
200,0.0,0.0,0.0025319707048590094,0.002846108132619518,0.038250000000000006,0.007292976072907411,0.6652075000000001,0.01518655058760873,20
200,0.0,0.3,0.014677915580460476,0.013610755730126833,0.03825000000000001,0.007628073151196178,0.6719475000000001,0.025437744961965485,20
200,1.0,0.0,0.004156790321507864,0.004197393005548834,0.15850000000000003,0.054224072145127575,0.8368125000000001,0.01972996372905941,20
200,1.0,0.3,0.023953702694512906,0.01561580132739177,0.093,0.026000000000000002,0.7869475000000001,0.016280252416654987,20
200,2.0,0.0,0.005351258684559786,0.0071804914416812035,0.9640000000000001,0.021482551058940834,0.9940150000000001,0.0007292290449508749,20
200,2.0,0.3,0.08073370124164396,0.02081264721363818,0.667,0.045232731511594564,0.9423875000000003,0.009702820144164289,20
